,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-11-06,0.0,0.0,0,0,0.0,73.27777777777635,0.0,0.0,18.944444444444066,0.0,0.0,0.0,0.0,112.89999999999941,148.71111111111043,121.83333333333388,143.4222222222229,787.0,0,0.0,0.0
2024-11-07,0.0,0.0,0,0,0.0,63.888888888887465,0.0,0.0,16.222222222221845,0.0,0.0,0.0,0.0,111.59999999999941,147.55555555555486,120.66666666666721,142.57777777777846,760.0,0,0.0,0.0
2024-11-08,0.0,0.0,0,0,0.0,54.49999999999858,0.0,0.0,13.499999999999623,0.0,0.0,0.0,0.0,110.29999999999941,146.3999999999993,119.50000000000054,141.73333333333403,733.0,0,0.0,0.0
2024-11-09,0.0,0.0,0,0,0.0,45.11111111110969,0.0,0.0,10.777777777777402,0.0,0.0,0.0,0.0,108.99999999999942,145.24444444444373,118.33333333333387,140.8888888888896,706.0,0,0.0,0.0
2024-11-10,0.0,0.0,0,0,0.0,35.72222222222081,0.0,0.0,8.05555555555518,0.0,0.0,0.0,0.0,107.69999999999942,144.08888888888816,117.1666666666672,140.04444444444516,679.0,0,0.0,0.0
2024-11-11,0.0,0.0,0,0,0.0,26.333333333331918,0.0,0.0,5.333333333332958,0.0,0.0,0.0,0.0,106.39999999999942,142.9333333333326,116.00000000000053,139.20000000000073,652.0,0,0.0,0.0
2024-11-12,0.0,0.0,0,0,0.0,16.94444444444303,0.0,0.0,2.611111111110736,0.0,0.0,0.0,0.0,105.09999999999943,141.77777777777703,114.83333333333385,138.3555555555563,625.0,0,0.0,0.0
2024-11-13,0.0,0.0,0,0,0.0,7.55555555555414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.79999999999943,140.62222222222147,113.66666666666718,137.51111111111186,598.0,0,0.0,0.0
2024-11-14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.49999999999943,139.4666666666659,112.50000000000051,136.66666666666742,571.0,0,0.0,0.0
2024-11-15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.19999999999943,138.31111111111034,111.33333333333384,135.822222222223,544.0,0,0.0,0.0
2024-11-16,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89999999999944,137.15555555555477,110.16666666666717,134.97777777777856,517.0,0,0.0,0.0
2024-11-17,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.59999999999944,135.9999999999992,109.0000000000005,134.13333333333412,490.0,0,0.0,0.0
