,B-BS,B-NL,B-PS,FB-NXL,FDN-N,FDN-P,FS-NL,FS-PL,FBX-N,FBX-P,F-BE90,F-CH90,F-MX90,F-PB
2024-03-14,0.0,160.63333333333347,156.5,166.93333333333374,277.2666666666665,283.2666666666664,112.73333333333346,145.86666666666653,128.19999999999922,138.56666666666584,71.26666666666674,78.53333333333336,422.8333333333323,0.0
2024-03-15,0.0,159.60000000000014,155.0,165.20000000000041,272.1999999999998,278.19999999999976,110.1666666666668,143.39999999999986,126.39999999999922,136.79999999999916,70.20000000000007,77.7666666666667,408.999999999999,0.0
2024-03-16,0.0,158.5666666666668,153.5,163.4666666666671,267.13333333333316,273.1333333333331,107.60000000000014,140.9333333333332,124.59999999999923,135.03333333333248,69.13333333333341,77.00000000000003,395.16666666666566,0.0
2024-03-17,0.0,157.53333333333347,152.0,161.73333333333377,262.0666666666665,268.06666666666644,105.03333333333347,138.46666666666653,122.79999999999923,133.2666666666658,68.06666666666675,76.23333333333336,381.33333333333235,0.0
2024-03-18,0.0,156.50000000000014,150.5,160.00000000000045,256.99999999999983,262.9999999999998,102.46666666666681,135.99999999999986,120.99999999999923,131.49999999999912,67.00000000000009,75.4666666666667,367.49999999999903,0.0
2024-03-19,0.0,155.4666666666668,149.0,158.26666666666713,251.93333333333317,257.9333333333331,99.90000000000015,133.5333333333332,119.19999999999924,129.73333333333244,65.93333333333342,74.70000000000003,353.6666666666657,0.0
2024-03-20,0.0,154.43333333333348,147.5,156.53333333333381,246.8666666666665,252.86666666666645,97.33333333333348,131.06666666666652,117.39999999999924,127.96666666666577,64.86666666666676,73.93333333333337,339.8333333333324,0.0
2024-03-21,0.0,153.40000000000015,146.0,154.8000000000005,241.79999999999984,247.79999999999978,94.76666666666682,128.59999999999985,115.59999999999924,126.19999999999911,63.80000000000009,73.1666666666667,325.9999999999991,0.0
2024-03-22,0.0,152.36666666666682,144.5,153.06666666666717,236.73333333333318,242.73333333333312,92.20000000000016,126.13333333333318,113.79999999999924,124.43333333333244,62.73333333333342,72.40000000000003,312.1666666666658,0.0
2024-03-23,0.0,151.33333333333348,143.0,151.33333333333385,231.66666666666652,237.66666666666646,89.6333333333335,123.66666666666652,111.99999999999925,122.66666666666578,61.66666666666675,71.63333333333337,298.33333333333246,0.0
2024-03-24,0.0,150.30000000000015,141.5,149.60000000000053,226.59999999999985,232.5999999999998,87.06666666666683,121.19999999999985,110.19999999999925,120.89999999999911,60.60000000000008,70.8666666666667,284.49999999999915,0.0
2024-03-25,0.0,149.26666666666682,140.0,147.86666666666721,221.5333333333332,227.53333333333313,84.50000000000017,118.73333333333318,108.39999999999925,119.13333333333244,59.53333333333341,70.10000000000004,270.66666666666583,0.0
2024-03-26,0.0,148.2333333333335,138.5,146.1333333333339,216.46666666666653,222.46666666666647,81.93333333333351,116.26666666666651,106.59999999999926,117.36666666666578,58.46666666666674,69.33333333333337,256.8333333333325,0.0
2024-03-27,0.0,147.20000000000016,137.0,144.40000000000057,211.39999999999986,217.3999999999998,79.36666666666684,113.79999999999984,104.79999999999926,115.59999999999911,57.40000000000007,68.5666666666667,242.99999999999918,0.0
2024-03-28,0.0,146.16666666666683,135.5,142.66666666666725,206.3333333333332,212.33333333333314,76.80000000000018,111.33333333333317,102.99999999999926,113.83333333333245,56.3333333333334,67.80000000000004,229.16666666666583,0.0
2024-03-29,0.0,145.1333333333335,134.0,140.93333333333393,201.26666666666654,207.26666666666648,74.23333333333352,108.8666666666665,101.19999999999926,112.06666666666578,55.26666666666673,67.03333333333337,215.3333333333325,0.0
2024-03-30,0.0,144.10000000000016,132.5,139.2000000000006,196.19999999999987,202.19999999999982,71.66666666666686,106.39999999999984,99.39999999999927,110.29999999999912,54.20000000000006,66.26666666666671,201.49999999999915,0.0
2024-03-31,0.0,143.06666666666683,131.0,137.4666666666673,191.1333333333332,197.13333333333316,69.1000000000002,103.93333333333317,97.59999999999927,108.53333333333245,53.13333333333339,65.50000000000004,187.6666666666658,0.0
2024-04-01,0.0,142.0333333333335,129.5,135.73333333333397,186.06666666666655,192.0666666666665,66.53333333333353,101.4666666666665,95.79999999999927,106.76666666666578,52.06666666666672,64.73333333333338,173.83333333333246,0.0
2024-04-02,0.0,141.00000000000017,128.0,134.00000000000065,180.9999999999999,186.99999999999983,63.96666666666686,98.99999999999983,93.99999999999928,104.99999999999912,51.00000000000005,63.96666666666671,159.99999999999912,0.0
